match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,continuous_wins_p1,continuous_wins_p2,Player_socre_margin,Players_run_distance_difference,p1_first_serve_success_count,p1_first_serve_total_count,p1_first_serve_win_count,p1_second_serve_win_count,p1_second_serve_total_count,p2_first_serve_success_count,p2_first_serve_total_count,p2_first_serve_win_count,p2_second_serve_win_count,p2_second_serve_total_count,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_double_fault_count2r,p2_double_fault_count2r,p1_unf_err_count2r,p2_unf_err_count2r,s_change
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,-1.169346400448294,-1.1116347738911623,1,2,2,-1.5073098262297608,-1.5396550561844038,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.613001105440515,-0.4621403986650377,-0.46589914307646146,-1.3608028542572626,-1.1029052110874524,0.6607473513905149,0.8029084842698108,0,0,-0.2294798939157025,-0.36649467562338445,0,0,0,0,1,0,0,0,0,0,-4.7657818964311485,-3.6395300080637574,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,-0.3791296120910459,-0.36499819754421575,0.0,0.0,1.2129487670785897,-0.637767727878839,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,-1.169346400448294,-0.2272426215284504,1,1,1,-1.4830578621077315,-1.5396550561844038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6690374429634559,-0.5180695113517438,-0.7842858067547883,0.44174180013188186,-1.8665213344417775,-1.5134377729937811,0.8029084842698108,0,1,-0.12453853534849962,-0.36667723642248395,1,1,1,0,1,0,0,0,0,0,1.3323802692577464,2.7618941051990276,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,-0.3791296120910459,-0.36499819754421575,0.0,0.0,1.2129487670785897,-0.637767727878839,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,-0.2822510947008177,-0.2272426215284504,1,1,2,-1.4830578621077315,-1.513979301492531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.027882721666834576,0.43512450835171673,0.1708741842801922,0.5984848135570249,-1.8665213344417775,0.6607473513905149,-1.245471955511132,1,0,-0.2294798939157025,-1.1274080862699016,2,2,1,0,1,0,0,0,0,0,1.3323802692577464,-0.4388179514323649,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,-0.3791296120910459,-0.36499819754421575,0.0,0.0,3.0153679630178023,-0.637767727878839,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,-0.2822510947008177,0.6571495308342615,1,1,1,-1.458805897985702,-1.513979301492531,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.770783517029122,4.62028651573777,3.0363541573851336,1.3821998806827398,-0.3392890877331273,-1.5134377729937811,-1.245471955511132,0,1,-0.12453853534849962,-4.507521281596262,3,3,2,0,1,0,0,0,0,0,1.3323802692577464,0.6280860674447657,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,-0.3791296120910459,-0.36499819754421575,0.0,0.0,1.2129487670785897,-0.637767727878839,2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,0.6048442110466588,0.6571495308342615,1,1,1,-1.4345539338636726,-1.513979301492531,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0144073197447412,-0.9889686491335147,-0.7842858067547883,-0.028487240143547126,1.1879431589755227,0.6607473513905149,,1,0,-0.01959717678129673,-0.06052277633270236,3,4,2,0,1,0,0,0,0,0,-0.19216027216447745,-0.4388179514323649,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,2.140680382096066,-0.36499819754421575,0.0,0.0,1.2129487670785897,-0.637767727878839,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,1.1962410815449764,0.6571495308342615,1,2,2,-1.4345539338636726,-1.488303546800658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6661868662219943,-0.7313648539706165,-0.46589914307646146,-1.2040598408321195,-0.3392890877331273,0.6607473513905149,0.8029084842698108,2,0,-0.12453853534849962,0.15964554738123726,3,4,2,0,2,0,0,0,0,0,-0.19216027216447745,-0.4388179514323649,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,2.140680382096066,-0.36499819754421575,0.0,0.0,-0.589470428860623,-0.637767727878839,2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,1.1962410815449764,1.2467442990760695,1,1,1,-1.4103019697416432,-1.488303546800658,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5517137054990923,0.28615514252264845,-0.7842858067547883,-0.2636017602812616,1.1879431589755227,-1.5134377729937811,-1.245471955511132,0,1,-0.01959717678129673,-2.0394818385707656,4,5,3,0,2,0,0,0,0,0,0.11274783611996758,0.20132445989391343,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,4.660490376283178,-0.36499819754421575,0.0,0.0,-0.589470428860623,-0.637767727878839,2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,2.3790348225416116,1.2467442990760695,1,2,2,-1.4103019697416432,-1.462627792108785,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.24989848027084977,0.30459825474909563,0.8076475116368458,-0.5770877871315476,-1.8665213344417775,0.6607473513905149,0.8029084842698108,1,0,-0.12453853534849962,-0.1335470959724833,4,5,3,0,3,0,0,0,0,0,0.11274783611996758,0.20132445989391343,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,2.140680382096066,-0.36499819754421575,0.0,0.0,-0.589470428860623,-0.637767727878839,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,1.1962410815449764,1.2467442990760695,1,1,1,-1.3860500056196137,-1.462627792108785,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.5241062837041486,0.793940504757314,1.1260341753151726,1.2254568672575967,-1.1029052110874524,-1.5134377729937811,-1.245471955511132,0,0,-0.01959717678129673,1.775856301808688,5,6,4,0,3,0,0,0,0,0,0.31601990830959736,0.6280860674447657,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,2.140680382096066,-0.36499819754421575,0.0,0.0,-0.589470428860623,-0.637767727878839,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,2.3790348225416116,1.2467442990760695,1,1,1,-1.3617980414975843,-1.462627792108785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5298551223533337,1.0063361833651403,0.489260847958519,-0.1852302535686901,-1.8665213344417775,0.6607473513905149,0.8029084842698108,1,0,0.08534418178590618,-1.1609992733042012,6,7,5,0,3,0,0,0,0,0,0.46121424558790386,0.9329157871239462,-2.877460983333669,-4.803374033701552,-3.9449318800563806,-2.8597156277641287,-0.3791296120910459,-0.36499819754421575,0.0,0.0,-0.589470428860623,-0.637767727878839,1
