match_id,球员1,球员2,流逝时间,盘号,局号,分号,得分者,球员1赢得的分数,球员2赢得的分数,赢得本局的球员,赢得本盘的球员,发球方,发球次数（第一发/第二发）,球员1 ACE球,球员2 ACE球,发球速度（英里/小时）,球员1赢盘数,球员2赢盘数,球员1当前盘赢局数,球员2当前盘赢局数,球员1当前局得分,球员2当前局得分,球员1双误,球员2双误,球员1非受迫性失误,球员2非受迫性失误,球员1上网,球员2上网,球员1上网得分,球员2上网得分,球员1破发成功,球员2破发成功,球员1破发机会未把握,球员2破发机会未把握,球员1跑动距离,球员2跑动距离,一致性,球员1动量,球员2动量
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,2,-1.494387971,-1.52748332,0,0,1,2,0,0,-1.244535028,0,0,0,0,-1.169143176,-1.120713773,0,0,1,0,0,0,0,0,0,0,0,0,-0.743307407,-0.590271941,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,1,-1.470254428,-1.52748332,0,0,1,1,0,0,0.532555716,0,0,0,0,-1.169143176,-0.23495452,0,0,0,0,0,0,0,0,0,0,0,0,-0.79869,-0.645414779,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,2,-1.470254428,-1.501877517,0,0,1,1,0,0,0.687085346,0,0,0,0,-0.286264237,-0.23495452,0,0,1,0,0,0,0,0,0,0,0,0,-0.165015268,0.294378854,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,1,-1.446120884,-1.501877517,0,0,1,1,0,0,1.459733495,0,0,0,0,-0.286264237,0.650804733,0,0,0,0,0,1,0,0,0,0,0,0,2.601000517,4.420704164,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,2,-1.42198734,-1.476271714,0,0,1,2,0,0,-1.090005398,0,0,0,0,1.18520066,0.650804733,0,0,0,0,0,0,0,0,0,0,0,0,-0.79587268,-0.85571153,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,1,-1.397853797,-1.476271714,0,0,1,1,1,0,-0.162827619,0,0,0,0,1.18520066,1.241310902,0,0,0,0,0,0,0,0,0,0,0,0,-0.682735013,0.14750376,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,2,-1.397853797,-1.450665911,0,0,1,2,0,0,-0.471886878,0,0,0,0,2.362372578,1.241310902,0,0,0,0,0,1,0,1,0,0,0,0,0.109525218,0.165687591,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,1,-1.373720253,-1.450665911,0,0,1,1,0,0,1.305203865,0,0,0,0,1.18520066,1.241310902,0,0,0,0,1,0,1,0,0,0,0,0,1.368867561,0.64815047,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,1,-1.349586709,-1.450665911,1,0,1,1,0,0,-0.085562804,0,0,0,0,2.362372578,1.241310902,0,0,0,0,0,0,0,0,0,0,0,0,0.386215765,0.857560205,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,2,-1.349586709,-1.425060107,0,0,2,1,0,1,0.068966826,0,0,1,0,-1.169143176,-1.120713773,0,0,0,0,0,0,0,0,0,0,0,0,-0.759247511,-0.806482133,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,1,-1.325453166,-1.425060107,0,0,2,1,0,0,1.459733495,0,0,1,0,-1.169143176,-0.23495452,0,0,0,0,0,0,0,0,0,0,0,0,0.275672998,0.17877108,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,1,-1.301319622,-1.425060107,0,0,2,1,0,0,0.687085346,0,0,1,0,-0.286264237,-0.23495452,0,0,0,1,0,0,0,0,0,0,0,0,0.74045677,0.207007761,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,2,-1.301319622,-1.399454304,0,0,2,1,0,0,1.305203865,0,0,1,0,0.596614701,-0.23495452,0,0,0,0,0,0,0,0,0,0,0,0,-0.397295944,-0.644084255,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,2,-1.301319622,-1.373848501,0,0,2,1,0,0,1.459733495,0,0,1,0,0.596614701,0.650804733,0,0,0,0,0,0,0,0,0,0,0,0,-0.936145593,-1.004434575,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,1,-1.277186078,-1.373848501,0,0,2,2,0,0,-1.090005398,0,0,1,0,0.596614701,1.241310902,0,0,0,0,0,0,0,0,0,0,0,0,-0.79520542,-0.851424285,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,2,-1.277186078,-1.322636895,2,0,2,1,0,0,0.378026086,0,0,1,0,1.18520066,2.422323239,0,0,0,0,0,1,0,1,0,0,0,0,-0.061664083,0.056806356,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,1,-1.228918991,-1.322636895,0,0,1,1,0,0,1.22793905,0,0,1,1,-0.286264237,-1.120713773,0,0,0,0,0,0,0,0,0,0,0,0,0.152897128,1.399305331,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,2,-1.228918991,-1.297031091,0,0,1,1,0,0,0.223496456,0,0,1,1,0.596614701,-1.120713773,0,0,0,0,0,0,0,0,0,0,0,0,-0.647815064,-0.370144094,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,1,-1.204785447,-1.297031091,0,0,1,1,0,0,1.22793905,0,0,1,1,0.596614701,-0.23495452,0,0,0,1,0,0,0,0,0,0,0,0,1.938040478,1.265365889,,,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,1,-1.180651904,-1.297031091,1,0,1,2,0,0,-0.626416508,0,0,1,1,1.18520066,-0.23495452,0,0,0,0,0,0,0,0,0,0,0,0,-0.907749967,-0.838710387,,,
