match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,point_victor,game_victor,set_victor,p1_score,p2_score,server,p1_ace,p2_ace,speed_mph,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_break_pt,p2_break_pt,continuous_wins_p1,continuous_wins_p2,Player_socre_margin,Players_run_distance_difference,rally_count
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,2,0,0,-1.169143176,-1.120713773,1,0,0,-1.244535028,0,0,0,0,1,0,0,0,-0.550838647,-0.530610698,-1.018963013,-0.335097682,-0.55853622
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,1,0,0,-1.169143176,-0.23495452,1,0,0,0.532555716,0,0,0,0,0,0,0,0,-0.550838647,0.931583555,-1.178790112,-0.334888164,-0.864910024
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,2,0,0,-0.286264237,-0.23495452,1,0,0,0.687085346,0,0,0,0,1,0,0,0,0.868051494,-0.530610698,-1.018963013,0.538173517,0.054211388
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,1,0,0,-0.286264237,0.650804733,1,0,0,1.459733495,1,0,0,0,0,0,0,0,-0.550838647,0.931583555,-1.178790112,4.417400062,2.811575623
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,2,0,0,1.18520066,0.650804733,1,0,0,-1.090005398,0,0,0,0,0,0,0,0,-0.550838647,0.931583555,-1.178790112,-0.502293079,-0.55853622
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,1,0,0,1.18520066,1.241310902,1,1,0,-0.162827619,1,0,0,0,0,0,0,0,0.868051494,-0.530610698,-1.018963013,1.584925654,-0.864910024
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,2,0,0,2.362372578,1.241310902,1,0,0,-0.471886878,0,1,0,0,0,0,0,0,-0.550838647,-0.530610698,-1.178790112,-0.602442703,0.666958996
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,1,0,0,1.18520066,1.241310902,1,0,0,1.305203865,0,0,0,0,0,0,0,0,0.868051494,-0.530610698,-1.018963013,1.352570145,0.973332799
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,1,1,0,2.362372578,1.241310902,1,0,0,-0.085562804,0,0,0,0,0,0,0,0,-0.550838647,-0.530610698,-0.859135913,0.576724836,0.360585192
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,2,0,0,-1.169143176,-1.120713773,2,0,1,0.068966826,0,1,0,0,0,0,0,0,-0.550838647,0.931583555,-1.018963013,-0.538330182,-0.864910024
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,1,0,0,-1.169143176,-0.23495452,2,0,0,1.459733495,0,0,0,0,0,0,0,0,0.868051494,-0.530610698,-0.859135913,-0.406333816,0.054211388
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,1,0,0,-0.286264237,-0.23495452,2,0,0,0.687085346,0,0,0,0,0,1,0,0,2.286941636,-0.530610698,-0.699308813,0.827098896,0.054211388
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,2,0,0,0.596614701,-0.23495452,2,0,0,1.305203865,0,1,0,0,0,0,0,0,-0.550838647,0.931583555,-0.859135913,0.02422576,-0.252162416
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,2,0,0,0.596614701,0.650804733,2,0,0,1.459733495,0,0,0,0,0,0,0,0,-0.550838647,2.393777807,-1.018963013,-0.477150914,-0.864910024
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,1,0,0,0.596614701,1.241310902,2,0,0,-1.090005398,0,0,0,0,0,0,0,0,-0.550838647,-0.530610698,-0.859135913,-0.512559463,-0.55853622
