y_value_p1,y_value_p2,match_id,elapsed_time
21.6576515,20.06619615,2023-wimbledon-1301,00:00:00
18.63434858,24.55970899,2023-wimbledon-1301,00:00:38
20.80166586,22.16157573,2023-wimbledon-1301,00:01:01
17.52295541,30.02867792,2023-wimbledon-1301,00:01:31
19.04373251,19.37137802,2023-wimbledon-1301,00:02:21
20.81061765,15.59085652,2023-wimbledon-1301,00:02:50
14.55920854,18.74660722,2023-wimbledon-1301,00:03:33
23.06502952,14.25621571,2023-wimbledon-1301,00:04:01
20.67935008,19.01404757,2023-wimbledon-1301,00:04:48
23.84551819,15.21220868,2023-wimbledon-1301,00:05:32
15.95743237,24.88224601,2023-wimbledon-1301,00:07:05
17.12344241,30.47496711,2023-wimbledon-1301,00:07:28
19.61287932,22.29227179,2023-wimbledon-1301,00:08:06
25.43203313,22.39705738,2023-wimbledon-1301,00:08:41
19.78366076,27.33274876,2023-wimbledon-1301,00:09:11
13.42525744,26.37031958,2023-wimbledon-1301,00:09:37
18.49556243,23.67822505,2023-wimbledon-1301,00:10:20
12.71835401,29.22256633,2023-wimbledon-1301,00:10:45
19.6729215,17.67987107,2023-wimbledon-1301,00:11:24
23.40085779,16.96946331,2023-wimbledon-1301,00:11:47
26.35924461,10.28875386,2023-wimbledon-1301,00:12:17
25.63131523,16.07573195,2023-wimbledon-1301,00:12:44
22.7137648,12.3472967,2023-wimbledon-1301,00:13:26
12.33156899,20.53479554,2023-wimbledon-1301,00:15:31
8.30730677,23.93620686,2023-wimbledon-1301,00:16:15
8.006278041,30.96065814,2023-wimbledon-1301,00:16:47
7.836216398,33.2880186,2023-wimbledon-1301,00:17:08
15.85237939,16.66680917,2023-wimbledon-1301,00:17:49
24.21238507,15.42353064,2023-wimbledon-1301,00:18:25
24.51157066,7.446156213,2023-wimbledon-1301,00:18:50
30.13308468,8.158369457,2023-wimbledon-1301,00:19:20
21.84932283,11.11878366,2023-wimbledon-1301,00:20:03
15.88384314,12.64691164,2023-wimbledon-1301,00:20:55
16.42767385,16.44523544,2023-wimbledon-1301,00:21:27
23.03238777,11.71757606,2023-wimbledon-1301,00:22:19
12.20004249,19.23096377,2023-wimbledon-1301,00:24:22
7.466767546,21.57509105,2023-wimbledon-1301,00:24:53
16.45372403,21.8487398,2023-wimbledon-1301,00:26:05
10.81243304,25.22441391,2023-wimbledon-1301,00:26:30
9.153903592,29.74089873,2023-wimbledon-1301,00:26:56
19.03872117,16.74422884,2023-wimbledon-1301,00:27:42
22.96482435,15.24240683,2023-wimbledon-1301,00:28:37
26.30772076,10.13191725,2023-wimbledon-1301,00:29:06
30.00181136,7.888526654,2023-wimbledon-1301,00:29:32
23.17092193,9.869522979,2023-wimbledon-1301,00:30:17
16.37000535,23.35583264,2023-wimbledon-1301,00:32:34
15.96801841,22.7885252,2023-wimbledon-1301,00:33:33
10.26168987,24.31252427,2023-wimbledon-1301,00:33:58
15.10996683,18.69795859,2023-wimbledon-1301,00:34:46
18.57449945,15.98342598,2023-wimbledon-1301,00:36:02
18.46566068,15.12014422,2023-wimbledon-1301,00:37:18
22.03058047,11.51776989,2023-wimbledon-1301,00:37:44
19.06741858,16.97049385,2023-wimbledon-1301,00:38:26
23.10800348,12.35513162,2023-wimbledon-1301,00:38:54
21.47216144,19.18294765,2023-wimbledon-1301,00:39:29
20.94877721,12.19653329,2023-wimbledon-1301,00:40:01
18.12812146,15.57168574,2023-wimbledon-1301,00:40:33
20.5833003,8.120521215,2023-wimbledon-1301,00:41:23
18.58787952,15.93742667,2023-wimbledon-1301,00:42:31
13.22916079,21.7660074,2023-wimbledon-1301,00:43:18
21.16153995,18.26879626,2023-wimbledon-1301,00:43:59
26.18163026,14.00135733,2023-wimbledon-1301,00:44:29
15.50681579,21.31061498,2023-wimbledon-1301,00:47:04
11.12891096,24.40101952,2023-wimbledon-1301,00:47:27
7.335013721,28.32457149,2023-wimbledon-1301,00:47:52
5.801121817,31.68556859,2023-wimbledon-1301,00:48:17
18.81006434,15.95485395,2023-wimbledon-1301,00:49:17
20.45259146,10.0430611,2023-wimbledon-1301,00:49:38
26.20857731,8.373938393,2023-wimbledon-1301,00:50:14
20.56774161,12.97371005,2023-wimbledon-1301,00:51:10
18.2701588,17.80832792,2023-wimbledon-1301,00:51:54
17.72606786,10.10237736,2023-wimbledon-1301,00:52:21
15.39097555,14.2608599,2023-wimbledon-1301,00:53:06
14.08719572,22.62520496,2023-wimbledon-1301,00:54:11
13.9840742,20.66390631,2023-wimbledon-1301,00:54:56
11.44787637,26.15737554,2023-wimbledon-1301,00:55:20
5.382267319,26.31152092,2023-wimbledon-1301,00:55:50
3.400569828,31.72990561,2023-wimbledon-1301,00:57:08
17.76019683,13.84098725,2023-wimbledon-1301,00:59:22
13.48837871,19.80619302,2023-wimbledon-1301,01:00:17
15.33988214,12.90950588,2023-wimbledon-1301,01:00:41
22.26027408,9.08090904,2023-wimbledon-1301,01:01:21
14.08870192,14.37992595,2023-wimbledon-1301,01:02:05
12.13355541,17.41263586,2023-wimbledon-1301,01:02:54
14.26424733,12.21851844,2023-wimbledon-1301,01:03:50
26.38488334,12.28097239,2023-wimbledon-1301,01:04:21
13.7534929,18.06988746,2023-wimbledon-1301,01:05:38
13.11355446,27.4467718,2023-wimbledon-1301,01:06:16
8.801977058,29.93997882,2023-wimbledon-1301,01:06:46
14.12282123,24.92918147,2023-wimbledon-1301,01:07:42
19.21467671,22.83908402,2023-wimbledon-1301,01:08:26
18.65236208,17.32753826,2023-wimbledon-1301,01:09:19
14.04836102,21.8144947,2023-wimbledon-1301,01:10:24
19.77620406,14.38605665,2023-wimbledon-1301,01:11:30
16.11593665,22.92603846,2023-wimbledon-1301,01:12:08
11.17575663,27.00072872,2023-wimbledon-1301,01:12:37
19.12520006,18.48639051,2023-wimbledon-1301,01:14:48
13.34510868,18.79351302,2023-wimbledon-1301,01:15:27
16.60720187,13.46846445,2023-wimbledon-1301,01:15:55
16.90926884,22.42280739,2023-wimbledon-1301,01:16:53
15.30536125,13.34252649,2023-wimbledon-1301,01:17:22
17.43841438,12.52091554,2023-wimbledon-1301,01:17:48
18.86511998,19.46316103,2023-wimbledon-1301,01:18:30
26.11400454,14.44852795,2023-wimbledon-1301,01:19:01
12.71811589,19.00053879,2023-wimbledon-1301,01:19:57
20.28082286,19.31032326,2023-wimbledon-1301,01:20:31
15.57902455,24.48897846,2023-wimbledon-1301,01:21:06
11.06092399,26.28902692,2023-wimbledon-1301,01:21:41
9.284935316,25.16894815,2023-wimbledon-1301,01:22:15
11.40638676,19.51605482,2023-wimbledon-1301,01:22:46
16.50659699,20.30031428,2023-wimbledon-1301,01:23:58
20.47929308,14.59818587,2023-wimbledon-1301,01:25:01
16.1450626,21.80370125,2023-wimbledon-1301,01:25:32
9.884926102,25.80054502,2023-wimbledon-1301,01:26:17
12.41551642,18.29829233,2023-wimbledon-1301,01:26:59
20.61648365,16.96728194,2023-wimbledon-1301,01:28:28
15.80227823,13.29476154,2023-wimbledon-1301,01:30:29
19.31258457,9.069842285,2023-wimbledon-1301,01:30:48
23.66965725,6.908418084,2023-wimbledon-1301,01:31:21
27.76885334,5.050161947,2023-wimbledon-1301,01:31:59
14.98898022,20.90459345,2023-wimbledon-1301,01:32:45
19.34505792,17.82747233,2023-wimbledon-1301,01:33:11
13.95149775,21.26972215,2023-wimbledon-1301,01:33:37
11.78565047,26.13051087,2023-wimbledon-1301,01:34:16
11.37727577,28.72488333,2023-wimbledon-1301,01:34:42
19.71860483,17.67470739,2023-wimbledon-1301,01:36:28
22.30007112,15.51645043,2023-wimbledon-1301,01:36:57
15.97080594,14.15351688,2023-wimbledon-1301,01:38:01
19.00374639,13.09003675,2023-wimbledon-1301,01:38:43
24.26309843,9.246072548,2023-wimbledon-1301,01:39:23
20.37232461,15.1462684,2023-wimbledon-1301,01:39:56
12.09863026,18.26863295,2023-wimbledon-1301,01:40:44
10.67953334,24.00789233,2023-wimbledon-1301,01:41:10
7.557409676,28.38783804,2023-wimbledon-1301,01:41:39
14.02877741,22.70891071,2023-wimbledon-1301,01:42:22
6.408991397,24.83926498,2023-wimbledon-1301,01:43:15
18.93949582,16.29611679,2023-wimbledon-1301,01:45:24
19.25705752,9.426193381,2023-wimbledon-1301,01:45:59
27.47876607,9.811376904,2023-wimbledon-1301,01:46:38
29.04142631,10.40336041,2023-wimbledon-1301,01:47:17
17.63382953,20.65549521,2023-wimbledon-1301,01:48:12
12.4994308,13.482672,2023-wimbledon-1301,02:04:05
19.06211757,10.08636802,2023-wimbledon-1301,02:04:50
21.57111183,19.43734787,2023-wimbledon-1301,02:05:38
17.42555985,14.53676439,2023-wimbledon-1301,02:07:02
20.51891316,13.67993125,2023-wimbledon-1301,02:07:27
15.90669413,21.86703583,2023-wimbledon-1301,02:08:41
21.63056947,19.6988887,2023-wimbledon-1301,02:09:28
16.69021209,17.59663884,2023-wimbledon-1301,02:10:00
12.75973195,26.95503404,2023-wimbledon-1301,02:10:55
17.93738313,22.39176015,2023-wimbledon-1301,02:11:35
19.69869787,19.33467274,2023-wimbledon-1301,02:12:15
15.6581253,22.26118679,2023-wimbledon-1301,02:12:53
23.26746748,15.78517762,2023-wimbledon-1301,02:13:38
14.21725405,19.67533744,2023-wimbledon-1301,02:14:08
15.60501898,21.10862841,2023-wimbledon-1301,02:15:48
12.71572407,28.04699753,2023-wimbledon-1301,02:16:15
16.01673798,14.32556611,2023-wimbledon-1301,02:16:58
21.95885984,12.82541876,2023-wimbledon-1301,02:17:46
28.87386125,11.51344371,2023-wimbledon-1301,02:18:16
19.05227742,10.07466705,2023-wimbledon-1301,02:18:53
17.88779411,16.74601901,2023-wimbledon-1301,02:19:39
19.2537189,14.20518876,2023-wimbledon-1301,02:20:27
11.44391062,18.35003117,2023-wimbledon-1301,02:22:46
17.78372847,15.87479784,2023-wimbledon-1301,02:23:36
21.26654665,10.7640425,2023-wimbledon-1301,02:24:21
19.37300541,19.04484976,2023-wimbledon-1301,02:25:30
24.02714779,17.49980858,2023-wimbledon-1301,02:25:59
19.56735063,16.56346741,2023-wimbledon-1301,02:26:45
22.58749949,12.38508599,2023-wimbledon-1301,02:27:09
24.37302813,6.598018533,2023-wimbledon-1301,02:27:35
20.23072374,6.417950682,2023-wimbledon-1301,02:28:59
13.77323772,19.51886398,2023-wimbledon-1301,02:31:03
17.54626035,16.12389501,2023-wimbledon-1301,02:32:01
15.28581794,22.23323523,2023-wimbledon-1301,02:32:24
10.25959021,25.365475,2023-wimbledon-1301,02:33:01
15.30856897,20.42127881,2023-wimbledon-1301,02:34:04
15.79547673,26.26637537,2023-wimbledon-1301,02:34:46
17.5456374,14.59580298,2023-wimbledon-1301,02:35:22
22.44864368,12.10602435,2023-wimbledon-1301,02:35:46
23.80127257,5.675233195,2023-wimbledon-1301,02:36:15
26.87072225,3.594248984,2023-wimbledon-1301,02:36:54
14.434645,20.30964886,2023-wimbledon-1301,02:38:49
8.213652118,21.80591546,2023-wimbledon-1301,02:39:09
16.29029296,17.85798767,2023-wimbledon-1301,02:39:39
12.30648655,25.77797761,2023-wimbledon-1301,02:40:34
14.61396283,18.71808674,2023-wimbledon-1301,02:41:28
19.62052192,19.22853571,2023-wimbledon-1301,02:42:07
13.2354128,19.97247058,2023-wimbledon-1301,02:42:35
11.2453186,27.70519114,2023-wimbledon-1301,02:43:02
13.70448081,15.81454307,2023-wimbledon-1301,02:43:47
20.72352866,11.59659018,2023-wimbledon-1301,02:44:30
24.68408479,6.0412555,2023-wimbledon-1301,02:45:05
28.87770707,6.549041293,2023-wimbledon-1301,02:45:58
