,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_depth,continuous_wins_p1,continuous_wins_p2,server,serve_no,elapsed_time,p1_Players_run_distance_difference,p2_Players_run_distance_difference,p1_server,p2_server,p1_score,p2_score,point_no,p1_Player_socre_margin,p2_Player_socre_margin,Players_run_distance_difference,y_value_p1,y_value_p2,y_value_p1_normalized_0_5,y_value_p2_normalized_0_5
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,-0.3939393939393939,0.25,1.0,0.0,0.0,1,1.0,0 days 00:00:00,-0.1645081922889743,0.16450819228897418,0.25,0.0,0,0,1,0.0,0.0,-0.3939393939393939,21.65765150170253,20.066196149812626,21.21357826354698,17.511642624781164
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.303030303030303,0.0,0.0,0.0,0.25,1,0.0,0 days 00:00:38,-0.16452171091764456,0.16452171091764423,0.25,0.0,0,15,2,-0.375,0.375,0.303030303030303,18.634348581719703,24.559708994037877,18.458810790338518,21.457621807323875
2,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.36363636363636354,0.0,1.0,0.25,0.0,1,0.0,0 days 00:01:01,-0.2208538365868168,0.22085383658681645,0.25,0.0,15,15,3,0.0,0.0,0.36363636363636354,20.801665861763418,22.161575729145667,20.43362287672415,19.35170061197467
3,1.0,0.666666667,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.6666666666666667,0.5,0.0,0.0,0.25,1,0.0,0 days 00:01:31,-0.47115124641756345,0.4711512464175631,0.25,0.0,15,30,4,-0.375,0.375,0.6666666666666667,17.52295541210334,30.028677923313325,17.446133650588788,26.260197941634363
4,0.75,0.5,1.0,0.75,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.1212121212121211,1.0,1.0,0.25,0.0,1,0.0,0 days 00:02:21,-0.1418509706375386,0.14185097063753838,0.25,0.0,30,30,5,0.0,0.0,0.1212121212121211,19.04373251413311,19.371378016169913,18.83183247255653,16.90148794490063
5,0.75,0.5,1.0,0.75,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.33333333333333337,0.5,1.0,0.5,0.0,1,1.0,0 days 00:02:50,-0.12554750446114749,0.12554750446114737,0.25,0.0,40,30,6,0.25,-0.25,-0.33333333333333337,20.8106176497864,15.590856516880258,20.441779550112642,13.581622251287774
6,0.8,0.6,1.0,0.8,1.0,1.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.030303030303030276,1.0,0.0,0.0,0.25,1,0.0,0 days 00:03:33,-0.2883929054236739,0.2883929054236738,0.25,0.0,40,40,7,0.0,0.0,0.030303030303030276,14.559208536649411,18.746607220926347,14.745632342115847,16.352845348928074
7,0.8,0.6,1.0,0.8,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.09090909090909094,0.0,1.0,0.25,0.0,1,1.0,0 days 00:04:01,-0.14725842210566165,0.14725842210566142,0.25,0.0,60,40,8,0.5,-0.5,-0.09090909090909094,23.065029521002216,14.256215706270511,22.495950322413428,12.409607162556897
8,0.833333333,0.666666667,1.0,0.833333333,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.606060606060606,0.25,0.0,0.0,0.0,1,0.0,0 days 00:04:48,-0.00586708484291365,0.005867084842913428,0.25,0.0,40,40,9,0.0,0.0,0.606060606060606,20.67935007616006,19.014047573543994,20.322171409055144,16.58769814685817
9,0.857142857,0.714285714,1.0,0.857142857,1.0,1.0,0.0,0.0,-0.0,-0.0,0.06060606060606055,0.0,1.0,0.25,0.0,1,0.0,0 days 00:05:32,-0.22334126426215328,0.22334126426215306,0.25,0.0,60,40,10,0.5,-0.5,0.06060606060606055,23.845518192729486,15.212208676110127,23.207114523615655,13.249112575897874
