match_id,player1,player2,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_unf_err_count2r,p2_unf_err_count2r,point_victor,elapsed_time_seconds
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,-4.765781896,-3.639530008,-2.877460983,-4.803374034,-3.94493188,-2.859715628,1.212948767,-0.637767728,2,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1.332380269,2.761894105,-2.877460983,-4.803374034,-3.94493188,-2.859715628,1.212948767,-0.637767728,1,38
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1.332380269,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628,3.015367963,-0.637767728,2,61
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1.332380269,0.628086067,-2.877460983,-4.803374034,-3.94493188,-2.859715628,1.212948767,-0.637767728,1,91
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,-0.192160272,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628,1.212948767,-0.637767728,1,141
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,-0.192160272,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.589470429,-0.637767728,2,170
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.112747836,0.20132446,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.589470429,-0.637767728,1,213
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.112747836,0.20132446,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.589470429,-0.637767728,2,241
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.316019908,0.628086067,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.589470429,-0.637767728,1,288
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.461214246,0.932915787,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.589470429,-0.637767728,1,332
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.461214246,0.932915787,-2.877460983,1.416994155,3.168118217,-2.859715628,-0.589470429,-0.637767728,2,425
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.461214246,0.932915787,-2.877460983,1.416994155,-0.388406832,-2.859715628,-0.589470429,-0.637767728,1,448
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.461214246,0.932915787,-2.877460983,1.416994155,-1.573915181,-2.859715628,-0.589470429,1.126979118,1,486
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.461214246,0.932915787,-2.877460983,1.416994155,-0.388406832,-2.859715628,-0.589470429,1.126979118,2,521
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.461214246,0.932915787,-2.877460983,1.416994155,0.322898178,-2.859715628,-0.589470429,1.126979118,2,551
