elapsed_time_seconds,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,point_victor
0,-4.803374034,-3.94493188,-2.859715628,1
38,-4.803374034,-3.94493188,-2.859715628,0
61,-4.803374034,-3.94493188,-2.859715628,1
91,-4.803374034,-3.94493188,-2.859715628,0
141,-4.803374034,-3.94493188,-2.859715628,0
170,-4.803374034,-3.94493188,-2.859715628,1
213,-4.803374034,-3.94493188,-2.859715628,0
241,-4.803374034,-3.94493188,-2.859715628,1
288,-4.803374034,-3.94493188,-2.859715628,0
332,-4.803374034,-3.94493188,-2.859715628,0
425,1.416994155,3.168118217,-2.859715628,1
448,1.416994155,-0.388406832,-2.859715628,0
486,1.416994155,-1.573915181,-2.859715628,0
521,1.416994155,-0.388406832,-2.859715628,1
551,1.416994155,0.322898178,-2.859715628,1
577,1.416994155,0.322898178,-2.859715628,0
620,0.380266123,-0.388406832,-2.859715628,1
645,0.528370128,0.119668175,-2.859715628,1
684,0.528370128,0.119668175,-2.859715628,0
707,0.528370128,0.119668175,-2.859715628,0
737,0.528370128,0.119668175,-2.859715628,1
764,0.528370128,0.119668175,-2.859715628,0
806,0.528370128,0.119668175,-2.859715628,0
931,0.528370128,0.119668175,-0.126797673,1
975,0.639448131,0.50072443,-0.126797673,1
1007,0.034690113,0.006762618,-0.126797673,1
1028,-0.449116302,-0.388406832,-0.126797673,1
1069,-0.449116302,-0.388406832,-0.126797673,0
1105,-0.449116302,-0.388406832,-0.126797673,0
1130,-0.449116302,-0.388406832,-0.126797673,0
1160,-0.449116302,-0.388406832,-0.126797673,1
1203,-0.449116302,-0.388406832,-0.126797673,1
1255,-0.449116302,-0.388406832,-0.126797673,1
1287,-0.449116302,-0.388406832,-0.126797673,0
1339,-0.449116302,-0.388406832,-0.126797673,0
1462,-0.279469897,-0.065086373,-0.126797673,1
1493,-0.279469897,-0.065086373,-1.037770325,0
1565,-0.138097893,0.204347343,-1.037770325,1
1590,-0.018475427,0.432329718,-1.037770325,1
1616,-0.018475427,0.432329718,-0.126797673,1
1662,-0.018475427,0.432329718,-0.126797673,0
1717,-0.018475427,0.432329718,-0.126797673,0
1746,-0.018475427,0.432329718,-0.126797673,0
1772,-0.018475427,0.432329718,-0.126797673,1
1817,-0.018475427,0.432329718,-0.126797673,0
1954,0.084058114,0.627743182,-0.126797673,1
2013,-0.241770696,0.322898178,-0.126797673,1
2038,-0.241770696,0.322898178,-0.673381264,0
2086,-0.241770696,0.322898178,-1.037770325,0
2162,-0.241770696,0.322898178,-1.298048225,0
2238,-0.241770696,0.322898178,-1.298048225,0
2264,-0.241770696,0.322898178,-1.298048225,1
2306,-0.241770696,0.322898178,-1.298048225,0
2334,-0.241770696,0.322898178,-1.298048225,1
2369,-0.241770696,0.322898178,-1.298048225,0
2401,-0.241770696,0.322898178,-1.298048225,1
2433,-0.241770696,0.322898178,-1.298048225,0
2483,-0.241770696,0.322898178,-1.298048225,1
2551,-0.241770696,0.322898178,-1.298048225,1
2598,-0.241770696,0.322898178,-1.298048225,0
2639,-0.241770696,0.322898178,-1.298048225,0
2669,-0.241770696,0.322898178,-1.298048225,0
2824,-0.526870904,0.056158799,-1.298048225,1
2847,-0.778429912,-0.179199476,-1.298048225,1
2872,-0.656461908,0.006762618,-1.298048225,1
2897,-0.547332642,0.173149755,-1.298048225,1
2957,-0.547332642,0.173149755,-1.298048225,0
2978,-0.547332642,0.173149755,-1.298048225,0
3014,-0.547332642,0.173149755,-1.298048225,1
3070,-0.547332642,0.173149755,-1.298048225,1
3114,-0.547332642,0.173149755,-1.298048225,0
3141,-0.547332642,0.173149755,-1.298048225,1
3186,-0.547332642,0.173149755,-1.298048225,1
3251,-0.547332642,0.173149755,-1.298048225,1
3296,-0.449116302,0.322898178,-1.298048225,1
3320,-0.360253899,0.458384847,-1.298048225,1
3350,-0.279469897,0.581554545,-1.298048225,1
3428,-0.279469897,0.581554545,-0.810027162,1
3562,-0.279469897,0.581554545,-0.810027162,1
3617,-0.279469897,0.581554545,-0.810027162,0
3641,-0.279469897,0.581554545,-0.810027162,0
3681,-0.279469897,0.581554545,-0.810027162,1
3725,-0.279469897,0.581554545,-0.810027162,1
3774,-0.279469897,0.581554545,-0.810027162,0
3830,-0.279469897,0.581554545,-0.810027162,0
3861,-0.279469897,0.581554545,-0.810027162,0
3938,-0.20571059,0.694013835,-0.810027162,1
3976,-0.138097893,0.797101518,-0.810027162,1
4006,-0.138097893,0.797101518,-1.037770325,0
4062,-0.075894211,0.607420182,-1.037770325,0
